,date,currency,exchange_rate
0,5-Sep-23,USD,4.657
1,5-Sep-23,GBP,5.8818
2,5-Sep-23,INR100,5.6294
3,5-Sep-23,SDR,6.1939
4,5-Oct-23,USD,4.726
5,5-Oct-23,GBP,5.7421
6,5-Oct-23,INR100,5.6765
7,5-Oct-23,SDR,6.1877
8,6-Nov-23,USD,4.6785
9,6-Nov-23,GBP,5.7864
10,6-Nov-23,INR100,5.6266
11,6-Nov-23,SDR,6.1506
12,5-Dec-23,USD,4.6673
13,5-Dec-23,GBP,5.9003
14,5-Dec-23,INR100,5.5975
15,5-Dec-23,SDR,6.2198
16,5-Jan-24,USD,4.6455
17,5-Jan-24,GBP,5.8958
18,5-Jan-24,INR100,5.5813
19,5-Jan-24,SDR,6.21
20,5-Feb-24,USD,4.7595
21,5-Feb-24,GBP,6.0015
22,5-Feb-24,INR100,5.7335
23,5-Feb-24,SDR,6.3436
24,5-Mar-24,USD,4.7255
25,5-Mar-24,GBP,5.9981
26,5-Mar-24,INR100,5.6996
27,5-Mar-24,SDR,6.2774
28,5-Apr-24,USD,4.739
29,5-Apr-24,GBP,5.9937
30,5-Apr-24,INR100,5.6802
31,5-Apr-24,SDR,6.2878
32,6-May-24,USD,4.7365
33,6-May-24,GBP,5.9445
34,6-May-24,INR100,5.6798
35,6-May-24,SDR,6.2609
36,5-Jun-24,USD,4.699
37,5-Jun-24,GBP,6.0032
38,5-Jun-24,INR100,5.6241
39,5-Jun-24,SDR,6.2305
40,5-Jul-24,USD,4.708
41,5-Jul-24,GBP,6.0093
42,5-Jul-24,INR100,5.6383
43,5-Jul-24,SDR,6.1984
44,6-Aug-24,USD,4.454
45,6-Aug-24,GBP,5.7025
46,6-Aug-24,INR100,5.3057
47,6-Aug-24,SDR,5.9664
48,5-Sep-24,USD,4.34
49,5-Sep-24,GBP,5.7043
50,5-Sep-24,INR100,5.1679
51,5-Sep-24,SDR,5.8348
