Currency,Value
USD,7.304147465437792
GBP,3.111687674210687
EUR,4.529479047520007
JPY100,5.255488955856545
CHF,2.7298093621338935
AUD,2.968193035371531
CAD,6.570592629482073
SGD,3.2012973362563515
VND100,10.285714285714281
KHR100,5.084745762711866
NZD,3.010320032785663
MMK100,7.284129281234912
INR100,8.930126356934151
PKR100,-2.4394941259549356
NPR100,8.878157503714709
THB100,3.3582644789912734
PHP100,7.01943985104361
TWD100,7.994937945427496
KRW100,8.471965495995077
IDR100,9.28571428571428
SDR,6.154452594776165
CNY,4.932808915109803
BND,3.2012973362563515

