Country_Name,Country_Id,Currency,Value,Latitude,Longitude
United States of America,840,USD,7.304147465437792,37.0902,-95.7129
United Kingdom,826,GBP,3.111687674210687,55.3781,-3.436
France,250,EUR,4.529479047520007,46.6034,1.8883
Japan,392,JPY,5.255488955856545,36.2048,138.2529
Switzerland,756,CHF,2.729809362133893,46.8182,8.2275
Australia,36,AUD,2.968193035371531,-25.2744,133.7751
Canada,124,CAD,6.570592629482073,56.1304,-106.3468
Singapore,702,SGD,3.2012973362563515,1.3521,103.8198
Vietnam,704,VND,10.28571428571428,14.0583,108.2772
Cambodia,116,KHR,5.084745762711866,12.5657,104.991
New Zealand,554,NZD,3.010320032785663,-40.9006,174.886
Myanmar,104,MMK,7.284129281234912,21.9162,95.956
India,356,INR,8.930126356934151,20.5937,78.9629
Pakistan,586,PKR,-2.439494125954936,30.3753,69.3451
Nepal,524,NPR,8.878157503714709,28.3949,84.124
Thailand,764,THB,3.358264478991273,15.87,100.9925
Philippines,608,PHP,7.01943985104361,12.8797,121.774
Taiwan,158,TWD,7.994937945427496,23.6978,120.9605
South Korea,410,KRW,8.471965495995077,35.9078,127.7669
Indonesia,360,IDR,9.28571428571428,-0.7893,113.9213
Special Drawing Rights,SDR,SDR,6.154452594776165,,
China,156,CNY,4.932808915109803,35.8617,104.1954
Brunei,96,BND,3.2012973362563515,4.5353,114.7277
